3-5年,本科及以上,"岗位职责：
1、业务分析：深入业务，了解业务痛点，为业务线建立数据支持体系，通过数据为业务优化提供效果评估及数据决策支持；
2、用户模型：构建用户分析体系，包含用户行为分析、用户画像分析等，挖掘潜在的规律趋势，协助业务进行策略优化；
3、目标监测：测算业务目标，跟进和监督各业务目标完成情况，有效提供改进策略和实施建议；
4、可视化呈现：与产品、运营和市场等团队合作，明确监测指标，保障数据可视化。

岗位要求：
1、本科及以上学历，统计、数学、社会学或计算机等相关专业；
2、精通使用SQL、Excel和PPT，能够熟练使用Tableau、R和Python；
3、业务理解业务强，可快速把握业务重点，形成分析框架且有自己明确的观点输出；
4、数据敏感，逻辑清晰，有良好的信息搜集能力；
5、有良好的报告撰写能力、演讲和价值输出能力；
6、有数据分析及建模相关经验优先，如：用户画像、财报研究、商业变现分析等。",北京,北京拉勾网络技术有限公司,今天 10:15,资深数据分析师,20k-35k
3-5年,本科及以上,"1、2年以上数据分析经验；
2、英语听说读写熟练；
3、接受到岗期一个月。",成都,上海华钦信息科技股份有限公司,昨天 18:05,数据分析,9k-13k
3-5年,本科及以上,"岗位要求：
负责美的智能产品数据挖掘分析，驱动产品智能及用户体验提升，主要包括：
1、通过数据洞察发现问题及分析场景，撰写分析报告及建议解决方案，推动业务变革；
2、使用常用的数据分析及挖掘算法模型，按需求建立模型，为业务提供决策支持；
3、面向用户、事业部及业务部门发布数据报告及数据小品；
4、参与数据产品及数据可视化建设；
5、挖掘智能用户、设备数据，制定标签为营销企划提供数据支撑；

工作要求：
1、统招本科及以上学历，3年以上工作经验，2年以上数据分析或数据挖掘经验；
2、熟悉常用的数理统计理论、数据分析方法及挖掘算法；
2、掌握R、Python、SPSS等至少一钟分析挖掘工具；
2、熟练使用办公软件，有较强的报告撰写能力及一定的汇报能力；
4、数据大数据体系基本架构，能够使用SQL查询取数""

【加分项】
1、有机器学习、深度学习实践经验；
2、有用户标签应用产品经验；",广州,广东美的制冷设备有限公司,今天 15:06,大数据分析运营,15k-25k
3-5年,本科及以上,岗位职责：1、负责客户端和门户核心数据指标和新产品功能的日志收集、指标定义、数据监控、数据异常分析  2、负责业务产品或算法建模效果数据分析，以统计分析，数据探索和预测建模等大数据分析技术，驱动业务的提升与优化3、及时响应产品、运营、市场或者BD的数据统计和分析需求4、参与和指导数据平台与分析工具的建设岗位要求：1、统计学或计算机相关专业本科以上学历，2年以上工作经验2、3年以上互联网数据分析相关经验，熟悉常用的数据建模方法如回归、聚类、关联分析等，熟练操作数据提取、处理和分析软件，如Python、R、SQLHql、Excel、SPSS等3、熟悉Java，精通SQL语言、熟悉主流大数据框架（Hadoop/Hive/Spark/RDB）4、具有快速学习和思考能力，优秀的商业分析能力、敏锐的数据洞察力、结构化思维能力,南京,南京联创信息科技有限公司,今天 14:51,大数据分析师,10k-18k
3-5年,本科及以上,"工作职责
1． 根据业务或数据产品经理的需求实现对业务指标数据的采集、清洗、分析建模与计算、可视化展示，以及数据采集等支出业务的决策；
2．参与数据分析平台的选型、部署、研发及维护等工作；
3．不断完善和创新数据分析架构，不断应用和创新数据分析工具，提升各类数据分析报告质量。
任职要求：
1． 3年以上数据分析、数据挖掘研发工作经验，211本科及以上学历，数学、统计、计算机类专业优先；
2． 精通SQL/Hive，熟悉mysql使用和性能优化，熟练运用R、Python、SPSS、SAS等至少一种语言，了解Tableau、Qlik等可视化工具，熟悉sqoop/kettle/informatica等ETL工具。有Hadoop、Spark等平台的海量数据处理经验优先；
3．具备较强的数据敏感度，能结合产品团队的需求完成建模分析，熟练运用数据挖掘技术对数据进行分析处理；
4． 具备优秀的沟通协调能力和团队合作精神，自我驱动，有owner意识，交付能力强；跨团队与部门的沟通能力强，有较强的团队协作意识和能力；
5． 有互联网数据分析、零售店铺数据分析等工作经验优先。",深圳,深圳市丰宜科技有限公司,今天 16:27,大数据分析与挖掘工程师,18k-30k
3-5年,本科及以上,"岗位职责:
1、负责研究和应用金融领域数据分析、模型构建知识和技术体系搭建；2、负责内外部各类数据的采集、对接，准入评判、质量分析评价，构建分析数据资源池；3、负责大规模海量数据的特征提取和价值挖掘，发现数据的分布密度、变化趋势、相关关系等；4、负责大数据营销、风控方向、运营产品需求分析、方案设计，通过海量数据挖掘、机器学习算法、人工智能、物联网等技术，构建用户画像、个性化推荐、预测、 风险控制等系统；5、负责大数据挖掘项目的设计、实现、算法调研、优化，持续提升用户产品体验；调研并促进数据分析、挖掘在公司多个业务领域的应用。
任职资格:
1、重点院校统招全日制本科及以上毕业，计算机、数学、金融相关专业背景；2、三年以上工作经验，熟悉非银类、银行类金融业务知识，具有大数据风控、营销类数据挖掘项目经验；3、熟练掌握一种或以上的开发语言，如Java、Python、Scala或R等编程语言；4、熟悉常用机器学习、数据挖掘、推荐系统等相关算法；主动性强、学习能力强，易沟通，团队合作精神佳。",北京,滨海（天津）金融资产交易中心股份有限公司,今天 16:13,JS003-大数据分析师,20k-40k
3-5年,本科及以上,"职位描述：
1、负责产品和用户运营数据分析，洞察挖掘转化提升点，提出方案建议，支撑运营决策和跟踪分析；
2、负责业务数据指标建设，支持业务日常运营和分析；
3、基于现有数据展示平台，实现运营指标可视化；
4、根据实际业务情况，对数据进行建模和挖掘，与运营部门一起建立并持续完善数据分析模型。

任职要求：
1、本科及以上学历，计算机、应用数学、统计及相关专业；3年以上大数据分析相关经验；
2、以目标提升为导向，侧重增长的分析思维；
2、熟悉SQL，Hive，至少一种数据可视化工具和方法；
3、熟悉python优先；
4、良好的沟通交流能力，较好的逻辑分析能力，善于理解和分析业务，对数据敏感。",深圳,万兴科技集团股份有限公司,今天 12:47,大数据分析师,15k-20k
5-10年,大专及以上,"1.负责从数据底层提取各维度数据，通过数据挖掘和分析，为业务决策和开展进行保驾护航；
2. 负责数据的产品化、报表化、可视化，包括搭建业务的基础数据指标体系，开发并维护相应的数据报表，提高人效；
3. 参与搭建相关业务数据模型，从数据角度提供论证与支持；
4. 负责监测业务的日常数据，关注数据波动并能够分析和解读数据异常；
5. 其他数据类相关工作的支持。

1、计算机科学、信息科学、机器学习、人机交互、统计学、应用数学等领域专业；
2. 三年以上数据相关岗位的工作经验；
3. 熟练使用SQL/Hive等数据库语言，熟悉Python或者R等数据处理语言；
4. 有Hadoop、Spark等平台的海量数据处理经验优先；
5. 有国内外互联网公司或其他行业的数据BI分析经验优先。
6. 较强的内驱力和抗压能力、以结果为导向；责任心强，用于承担工作压力。""",北京,北京京东世纪贸易有限公司,昨天 17:36,数据分析,15k-25k
3-5年,本科及以上,"岗位职责：
1、负责公司业务、产品线数据、日常经营数据的整理和分析；
2、完善数据报表体系，及时准确监控运营状况，并提供专业分析报告；
3、收集并整理系统功能改进和优化的需求，提出改进建议。
岗位要求：
1、本科以上学历，统计学、数学等相关专业，1年以上数据分析经验；
2、精通excel（常用及高级函数），或能利用SQL/Python等数据分析软件处理大量数据；
3、有较强的逻辑思维和学习能力，善于沟通，具有良好的团队合作精神；敏锐的商业嗅觉，对数字敏感。",北京,北京小辛便捷科技有限公司,昨天 15:52,数据分析,12k-20k
3-5年,本科及以上,"职位描述：
1. 分析广告业务流程中指标变化，对异常情况进行问题排查；
2. 广告投放中的案例分析、形成案例报告; 支持运营和PM；
3. 建设和完善分析报表。
职位要求：
1. 良好的数据开发能力，掌握hive/mysql等工具；
2. 熟悉1-2种分析工具；
3. 掌握一定的分析方法论和统计知识。",上海,威斯科技（苏州）有限公司,昨天 10:37,数据分析,20k-40k
